url	tittle	provider	rating	num_ratings
https://www.coursera.org/learn/advanced-clinical-data-science	Advanced Clinical Data Science	University of Colorado System	4.8	5
https://www.coursera.org/learn/advanced-data-science-capstone	Advanced Data Science Capstone	IBM Skills Network	4.6	67
https://www.coursera.org/learn/applied-data-science-capstone	Applied Data Science Capstone	IBM Skills Network	4.7	860
https://www.coursera.org/learn/applied-data-science-capstone-ar	كابستون علوم البيانات التطبيقية	IBM Skills Network	None	None
https://www.coursera.org/learn/applied-data-science-for-data-analysts	Applied Data Science for Data Analysts	Databricks	4.3	8
https://www.coursera.org/learn/build-data-science-team	Building a Data Science Team	Johns Hopkins University	4.5	446
https://www.coursera.org/learn/code-free-data-science	Code Free Data Science	University of California San Diego	4.3	54
https://www.coursera.org/learn/competitive-data-science	None	None	None	None
https://www.coursera.org/learn/cybersecurity-for-data-science	Cybersecurity for Data Science	University of Colorado Boulder	4.1	3
https://www.coursera.org/learn/data-science-as-a-field	Data Science as a Field	University of Colorado Boulder	4.4	9
https://www.coursera.org/learn/data-science-course	A Crash Course in Data Science	Johns Hopkins University	4.5	1505
https://www.coursera.org/learn/data-science-ethics	Data Science Ethics	University of Michigan	4.8	204
https://www.coursera.org/learn/data-science-for-business-innovation	Data Science for Business Innovation	EIT Digital	4.3	66
https://www.coursera.org/learn/data-science-fundamentals-for-data-analysts	Data Science Fundamentals for Data Analysts	Databricks	4.1	12
https://www.coursera.org/learn/data-science-k-means-clustering-python	Foundations of Data Science: K-Means Clustering in Python	University of London	4.6	150
https://www.coursera.org/learn/data-science-machine-learning-google-cloud	None	None	None	None
https://www.coursera.org/learn/data-science-methodology	Data Science Methodology	IBM Skills Network	4.6	2288
https://www.coursera.org/learn/data-science-methodology-ar	منهجية علم البيانات	IBM Skills Network	None	None
https://www.coursera.org/learn/data-science-project	Data Science Capstone	Johns Hopkins University	4.5	320
https://www.coursera.org/learn/data-science-with-r-capstone-project	Data Science with R - Capstone Project	IBM Skills Network	None	None
https://www.coursera.org/learn/datasciencemathskills	Data Science Math Skills	Duke University	4.5	2404
https://www.coursera.org/learn/ethical-issues-data-science	Ethical Issues in Data Science	University of Colorado Boulder	4.6	8
https://www.coursera.org/learn/executive-data-science-capstone	Executive Data Science Capstone	Johns Hopkins University	4.7	334
https://www.coursera.org/learn/genomic-data-science-project	None	None	None	None
https://www.coursera.org/learn/intro-analyticthinking-datascience-datamining	Intro to Analytic Thinking, Data Science, and Data Mining	University of California, Irvine	4.1	18
https://www.coursera.org/learn/introduction-clinical-data-science	Introduction to Clinical Data Science	University of Colorado System	4.6	102
https://www.coursera.org/learn/introducton-r-programming-data-science	Introduction to R Programming for Data Science	IBM Skills Network	4.4	53
https://www.coursera.org/learn/open-source-tools-for-data-science	Tools for Data Science	IBM Skills Network	4.5	4086
https://www.coursera.org/learn/probability-theory-foundation-for-data-science	Probability Theory: Foundation for Data Science	University of Colorado Boulder	4.4	26
https://www.coursera.org/learn/python-for-applied-data-science-ai	Python for Data Science, AI & Development	IBM Skills Network	4.6	5045
https://www.coursera.org/learn/python-for-applied-data-science-ai-ar	بايثون لعلوم البيانات والذكاء الصناعي	IBM Skills Network	None	None
https://www.coursera.org/learn/python-per-la-data-science	Python per la Data Science	Università di Napoli Federico II	None	None
https://www.coursera.org/learn/python-project-for-data-science	Python Project for Data Science	IBM Skills Network	4.5	478
https://www.coursera.org/learn/real-life-data-science	Data Science in Real Life	Johns Hopkins University	4.4	281
https://www.coursera.org/learn/spatial-data-science	Spatial Data Science and Applications	Yonsei University	4.4	147
https://www.coursera.org/learn/sql-data-science	Databases and SQL for Data Science with Python	IBM Skills Network	4.6	2151
https://www.coursera.org/learn/sql-data-science-ar	قواعد البيانات وSQL (لغة الاستعلام البنيوية) لعلم البيانات	IBM Skills Network	None	None
https://www.coursera.org/learn/sql-data-science-capstone	SQL for Data Science Capstone Project	University of California, Davis	4.2	38
https://www.coursera.org/learn/sql-data-science-r	SQL for Data Science with R	IBM Skills Network	4.2	16
https://www.coursera.org/learn/sql-for-data-science	SQL for Data Science	University of California, Davis	4.6	3662
https://www.coursera.org/learn/sql-for-data-science-ar	‏SQL لعلوم البيانات	University of California, Davis	None	None
https://www.coursera.org/learn/statistical-inference-for-estimation-in-data-science	Statistical Inference for Estimation in Data Science	University of Colorado Boulder	None	None
https://www.coursera.org/learn/statistics-for-data-science-python	Statistics for Data Science with Python	IBM Skills Network	4.6	61
https://www.coursera.org/learn/the-data-science-of-health-informatics	The Data Science of Health Informatics	Johns Hopkins University	4.6	35
https://www.coursera.org/learn/what-is-datascience	What is Data Science?	IBM Skills Network	4.7	11284
https://www.coursera.org/learn/what-is-datascience-ar	ما علم البيانات؟	IBM Skills Network	None	None
